timestamp,protocolo,info
2025-11-24T21:47:29.692516,DNS,DNS tid=17999 qr=0 opcode=0 rcode=0 qd=1 an=0
2025-11-24T21:47:29.693049,DNS,DNS tid=17586 qr=0 opcode=0 rcode=0 qd=1 an=0
2025-11-24T21:47:29.693671,DNS,DNS tid=17999 qr=1 opcode=0 rcode=0 qd=1 an=6
2025-11-24T21:47:29.694097,DNS,DNS tid=17586 qr=1 opcode=0 rcode=0 qd=1 an=6
2025-11-24T21:47:29.761106,HTTP,GET / HTTP/1.1 Host: example.com User-Agent: curl/8.14.1 Accept: */*
2025-11-24T21:47:29.830349,HTTP,"HTTP/1.1 200 OK Content-Type: text/html ETag: ""bc2473a18e003bdb249eba5ce893033f:1760028122.592274"" Last-Modified: Thu, 09 Oct 2025 16:42:02 GMT Cache-Control: max-age=86000 Date: Mon, 24 Nov 2025 21:47:29 GMT Content-Length: 513 Connection: keep-ali"
2025-11-24T21:47:30.691455,DNS,DNS tid=54481 qr=0 opcode=0 rcode=0 qd=1 an=0
2025-11-24T21:47:30.697856,DNS,DNS tid=54481 qr=1 opcode=0 rcode=0 qd=1 an=6
2025-11-24T21:47:44.898864,DNS,DNS tid=33677 qr=0 opcode=0 rcode=0 qd=1 an=0
2025-11-24T21:47:44.899184,DNS,DNS tid=3726 qr=0 opcode=0 rcode=0 qd=1 an=0
2025-11-24T21:47:44.900285,DNS,DNS tid=3726 qr=1 opcode=0 rcode=0 qd=1 an=6
2025-11-24T21:47:44.900445,DNS,DNS tid=33677 qr=1 opcode=0 rcode=0 qd=1 an=6
2025-11-24T21:47:44.965809,HTTP,GET / HTTP/1.1 Host: example.com User-Agent: curl/8.14.1 Accept: */*
2025-11-24T21:47:45.038577,HTTP,"HTTP/1.1 200 OK Accept-Ranges: bytes Content-Type: text/html ETag: ""bc2473a18e003bdb249eba5ce893033f:1760028122.592274"" Last-Modified: Thu, 09 Oct 2025 16:42:02 GMT Content-Length: 513 Cache-Control: max-age=86000 Date: Mon, 24 Nov 2025 21:47:45 GMT"
2025-11-24T21:47:45.149309,DNS,DNS tid=44775 qr=0 opcode=0 rcode=0 qd=1 an=0
2025-11-24T21:47:45.156659,DNS,DNS tid=44775 qr=1 opcode=0 rcode=0 qd=1 an=6
2025-11-24T21:47:59.423055,DNS,DNS tid=19518 qr=0 opcode=0 rcode=0 qd=1 an=0
2025-11-24T21:47:59.423370,DNS,DNS tid=57395 qr=0 opcode=0 rcode=0 qd=1 an=0
2025-11-24T21:47:59.424361,DNS,DNS tid=19518 qr=1 opcode=0 rcode=0 qd=1 an=6
2025-11-24T21:47:59.425025,DNS,DNS tid=57395 qr=1 opcode=0 rcode=0 qd=1 an=6
2025-11-24T21:47:59.432198,HTTP,GET / HTTP/1.1 Host: example.com User-Agent: curl/8.14.1 Accept: */*
2025-11-24T21:47:59.449813,HTTP,"HTTP/1.1 200 OK Content-Type: text/html ETag: ""bc2473a18e003bdb249eba5ce893033f:1760028122.592274"" Last-Modified: Thu, 09 Oct 2025 16:42:02 GMT Cache-Control: max-age=86000 Date: Mon, 24 Nov 2025 21:47:59 GMT Content-Length: 513 Connection: keep-ali"
2025-11-24T21:47:59.531582,DNS,DNS tid=29431 qr=0 opcode=0 rcode=0 qd=1 an=0
2025-11-24T21:47:59.538305,DNS,DNS tid=29431 qr=1 opcode=0 rcode=0 qd=1 an=6
