timestamp,protocolo,src_ip,dst_ip,ip_proto,info,tamanho_bytes
2025-11-24T21:47:29.692045,IPv4,172.17.0.3,168.63.129.16,17,,57
2025-11-24T21:47:29.692822,IPv4,172.17.0.3,168.63.129.16,17,,57
2025-11-24T21:47:29.693289,IPv4,168.63.129.16,172.17.0.3,17,,153
2025-11-24T21:47:29.694027,IPv4,168.63.129.16,172.17.0.3,17,,225
2025-11-24T21:47:29.694739,IPv4,172.17.0.3,23.192.228.80,6,,60
2025-11-24T21:47:29.759840,IPv4,23.192.228.80,172.17.0.3,6,,60
2025-11-24T21:47:29.760453,IPv4,172.17.0.3,23.192.228.80,6,,52
2025-11-24T21:47:29.760868,IPv4,172.17.0.3,23.192.228.80,6,,127
2025-11-24T21:47:29.825181,IPv4,23.192.228.80,172.17.0.3,6,,52
2025-11-24T21:47:29.830228,IPv4,23.192.228.80,172.17.0.3,6,,827
2025-11-24T21:47:29.830448,IPv4,172.17.0.3,23.192.228.80,6,,52
2025-11-24T21:47:29.830584,IPv4,172.17.0.3,23.192.228.80,6,,52
2025-11-24T21:47:29.894607,IPv4,23.192.228.80,172.17.0.3,6,,52
2025-11-24T21:47:29.894901,IPv4,172.17.0.3,23.192.228.80,6,,52
2025-11-24T21:47:30.690922,IPv4,172.17.0.3,8.8.8.8,17,,80
2025-11-24T21:47:30.696741,IPv4,8.8.8.8,172.17.0.3,17,,164
2025-11-24T21:47:30.821719,ICMP,172.17.0.3,8.8.8.8,1,ICMP type=8 code=0,84
2025-11-24T21:47:31.825692,ICMP,172.17.0.3,8.8.8.8,1,ICMP type=8 code=0,84
2025-11-24T21:47:31.889776,ICMP,fe80::b8c6:bfff:fe74:ebb2,ff02::2,58,ICMPv6 type=133 code=0,56
2025-11-24T21:47:44.898744,IPv4,172.17.0.3,168.63.129.16,17,,57
2025-11-24T21:47:44.898956,IPv4,172.17.0.3,168.63.129.16,17,,57
2025-11-24T21:47:44.900175,IPv4,168.63.129.16,172.17.0.3,17,,225
2025-11-24T21:47:44.900370,IPv4,168.63.129.16,172.17.0.3,17,,153
2025-11-24T21:47:44.900892,IPv4,172.17.0.3,23.192.228.84,6,,60
2025-11-24T21:47:44.965328,IPv4,23.192.228.84,172.17.0.3,6,,60
2025-11-24T21:47:44.965582,IPv4,172.17.0.3,23.192.228.84,6,,52
2025-11-24T21:47:44.965722,IPv4,172.17.0.3,23.192.228.84,6,,127
2025-11-24T21:47:45.029902,IPv4,23.192.228.84,172.17.0.3,6,,52
2025-11-24T21:47:45.036493,IPv4,23.192.228.84,172.17.0.3,6,,849
2025-11-24T21:47:45.038810,IPv4,172.17.0.3,23.192.228.84,6,,52
2025-11-24T21:47:45.039196,IPv4,172.17.0.3,23.192.228.84,6,,52
2025-11-24T21:47:45.100959,IPv4,23.192.228.84,172.17.0.3,6,,52
2025-11-24T21:47:45.101150,IPv4,172.17.0.3,23.192.228.84,6,,52
2025-11-24T21:47:45.149029,IPv4,172.17.0.3,8.8.8.8,17,,80
2025-11-24T21:47:45.154782,IPv4,8.8.8.8,172.17.0.3,17,,164
2025-11-24T21:47:45.293187,ICMP,172.17.0.3,8.8.8.8,1,ICMP type=8 code=0,84
2025-11-24T21:47:46.353741,ICMP,172.17.0.3,8.8.8.8,1,ICMP type=8 code=0,84
2025-11-24T21:47:49.297761,ICMP,fe80::b8c6:bfff:fe74:ebb2,ff02::2,58,ICMPv6 type=133 code=0,56
2025-11-24T21:47:59.422787,IPv4,172.17.0.3,168.63.129.16,17,,57
2025-11-24T21:47:59.423193,IPv4,172.17.0.3,168.63.129.16,17,,57
2025-11-24T21:47:59.424176,IPv4,168.63.129.16,172.17.0.3,17,,153
2025-11-24T21:47:59.424815,IPv4,168.63.129.16,172.17.0.3,17,,225
2025-11-24T21:47:59.425338,IPv4,172.17.0.3,23.215.0.136,6,,60
2025-11-24T21:47:59.431842,IPv4,23.215.0.136,172.17.0.3,6,,60
2025-11-24T21:47:59.431997,IPv4,172.17.0.3,23.215.0.136,6,,52
2025-11-24T21:47:59.432121,IPv4,172.17.0.3,23.215.0.136,6,,127
2025-11-24T21:47:59.437621,IPv4,23.215.0.136,172.17.0.3,6,,52
2025-11-24T21:47:59.449524,IPv4,23.215.0.136,172.17.0.3,6,,827
2025-11-24T21:47:59.449892,IPv4,172.17.0.3,23.215.0.136,6,,52
2025-11-24T21:47:59.449979,IPv4,172.17.0.3,23.215.0.136,6,,52
2025-11-24T21:47:59.455307,IPv4,23.215.0.136,172.17.0.3,6,,52
2025-11-24T21:47:59.455512,IPv4,172.17.0.3,23.215.0.136,6,,52
2025-11-24T21:47:59.531250,IPv4,172.17.0.3,8.8.8.8,17,,80
2025-11-24T21:47:59.537611,IPv4,8.8.8.8,172.17.0.3,17,,164
2025-11-24T21:47:59.687609,ICMP,172.17.0.3,8.8.8.8,1,ICMP type=8 code=0,84
2025-11-24T21:48:00.690770,ICMP,172.17.0.3,8.8.8.8,1,ICMP type=8 code=0,84
2025-11-24T21:48:25.137775,ICMP,fe80::b8c6:bfff:fe74:ebb2,ff02::2,58,ICMPv6 type=133 code=0,56
2025-11-24T21:49:30.673790,ICMP,fe80::b8c6:bfff:fe74:ebb2,ff02::2,58,ICMPv6 type=133 code=0,56
