timestamp,protocolo,src_ip,src_port,dst_ip,dst_port,tamanho_bytes
2025-11-24T21:47:29.692332,UDP,172.17.0.3,49689,168.63.129.16,53,57
2025-11-24T21:47:29.692985,UDP,172.17.0.3,49689,168.63.129.16,53,57
2025-11-24T21:47:29.693610,UDP,168.63.129.16,53,172.17.0.3,49689,153
2025-11-24T21:47:29.694063,UDP,168.63.129.16,53,172.17.0.3,49689,225
2025-11-24T21:47:29.694804,TCP,172.17.0.3,47220,23.192.228.80,80,60
2025-11-24T21:47:29.760067,TCP,23.192.228.80,80,172.17.0.3,47220,60
2025-11-24T21:47:29.760518,TCP,172.17.0.3,47220,23.192.228.80,80,52
2025-11-24T21:47:29.761053,TCP,172.17.0.3,47220,23.192.228.80,80,127
2025-11-24T21:47:29.825250,TCP,23.192.228.80,80,172.17.0.3,47220,52
2025-11-24T21:47:29.830286,TCP,23.192.228.80,80,172.17.0.3,47220,827
2025-11-24T21:47:29.830485,TCP,172.17.0.3,47220,23.192.228.80,80,52
2025-11-24T21:47:29.830622,TCP,172.17.0.3,47220,23.192.228.80,80,52
2025-11-24T21:47:29.894768,TCP,23.192.228.80,80,172.17.0.3,47220,52
2025-11-24T21:47:29.894942,TCP,172.17.0.3,47220,23.192.228.80,80,52
2025-11-24T21:47:30.691315,UDP,172.17.0.3,53528,8.8.8.8,53,80
2025-11-24T21:47:30.697790,UDP,8.8.8.8,53,172.17.0.3,53528,164
2025-11-24T21:47:44.898817,UDP,172.17.0.3,37684,168.63.129.16,53,57
2025-11-24T21:47:44.899135,UDP,172.17.0.3,37684,168.63.129.16,53,57
2025-11-24T21:47:44.900240,UDP,168.63.129.16,53,172.17.0.3,37684,225
2025-11-24T21:47:44.900405,UDP,168.63.129.16,53,172.17.0.3,37684,153
2025-11-24T21:47:44.900978,TCP,172.17.0.3,60628,23.192.228.84,80,60
2025-11-24T21:47:44.965415,TCP,23.192.228.84,80,172.17.0.3,60628,60
2025-11-24T21:47:44.965635,TCP,172.17.0.3,60628,23.192.228.84,80,52
2025-11-24T21:47:44.965763,TCP,172.17.0.3,60628,23.192.228.84,80,127
2025-11-24T21:47:45.030004,TCP,23.192.228.84,80,172.17.0.3,60628,52
2025-11-24T21:47:45.038362,TCP,23.192.228.84,80,172.17.0.3,60628,849
2025-11-24T21:47:45.038983,TCP,172.17.0.3,60628,23.192.228.84,80,52
2025-11-24T21:47:45.039345,TCP,172.17.0.3,60628,23.192.228.84,80,52
2025-11-24T21:47:45.101034,TCP,23.192.228.84,80,172.17.0.3,60628,52
2025-11-24T21:47:45.101180,TCP,172.17.0.3,60628,23.192.228.84,80,52
2025-11-24T21:47:45.149192,UDP,172.17.0.3,36071,8.8.8.8,53,80
2025-11-24T21:47:45.155046,UDP,8.8.8.8,53,172.17.0.3,36071,164
2025-11-24T21:47:59.422944,UDP,172.17.0.3,59725,168.63.129.16,53,57
2025-11-24T21:47:59.423280,UDP,172.17.0.3,59725,168.63.129.16,53,57
2025-11-24T21:47:59.424269,UDP,168.63.129.16,53,172.17.0.3,59725,153
2025-11-24T21:47:59.424918,UDP,168.63.129.16,53,172.17.0.3,59725,225
2025-11-24T21:47:59.425379,TCP,172.17.0.3,36662,23.215.0.136,80,60
2025-11-24T21:47:59.431896,TCP,23.215.0.136,80,172.17.0.3,36662,60
2025-11-24T21:47:59.432042,TCP,172.17.0.3,36662,23.215.0.136,80,52
2025-11-24T21:47:59.432155,TCP,172.17.0.3,36662,23.215.0.136,80,127
2025-11-24T21:47:59.437669,TCP,23.215.0.136,80,172.17.0.3,36662,52
2025-11-24T21:47:59.449676,TCP,23.215.0.136,80,172.17.0.3,36662,827
2025-11-24T21:47:59.449917,TCP,172.17.0.3,36662,23.215.0.136,80,52
2025-11-24T21:47:59.450001,TCP,172.17.0.3,36662,23.215.0.136,80,52
2025-11-24T21:47:59.455421,TCP,23.215.0.136,80,172.17.0.3,36662,52
2025-11-24T21:47:59.455541,TCP,172.17.0.3,36662,23.215.0.136,80,52
2025-11-24T21:47:59.531502,UDP,172.17.0.3,60217,8.8.8.8,53,80
2025-11-24T21:47:59.538243,UDP,8.8.8.8,53,172.17.0.3,60217,164
