timestamp,protocolo,src_ip,dst_ip,ip_proto,info,tamanho_bytes
2025-11-17T23:22:37.015327,IPv4,172.31.66.10,8.8.8.8,17,,41
2025-11-17T23:22:37.021351,IPv4,8.8.8.8,172.31.66.10,17,,40
2025-11-17T23:22:37.115445,IPv4,172.31.66.10,8.8.8.8,17,,41
2025-11-17T23:22:37.121058,IPv4,8.8.8.8,172.31.66.10,17,,40
2025-11-17T23:22:37.215573,IPv4,172.31.66.10,8.8.8.8,17,,41
2025-11-17T23:22:37.221147,IPv4,8.8.8.8,172.31.66.10,17,,40
2025-11-17T23:22:37.315733,IPv4,172.31.66.10,8.8.8.8,17,,41
2025-11-17T23:22:37.321736,IPv4,8.8.8.8,172.31.66.10,17,,40
2025-11-17T23:22:37.415837,IPv4,172.31.66.10,8.8.8.8,17,,41
2025-11-17T23:22:37.421721,IPv4,8.8.8.8,172.31.66.10,17,,40
