timestamp,protocolo,src_ip,src_port,dst_ip,dst_port,tamanho_bytes
2025-11-17T23:22:37.015382,UDP,172.31.66.10,12345,8.8.8.8,53,41
2025-11-17T23:22:37.021370,UDP,8.8.8.8,53,172.31.66.10,12345,40
2025-11-17T23:22:37.115494,UDP,172.31.66.10,12345,8.8.8.8,53,41
2025-11-17T23:22:37.121122,UDP,8.8.8.8,53,172.31.66.10,12345,40
2025-11-17T23:22:37.215607,UDP,172.31.66.10,12345,8.8.8.8,53,41
2025-11-17T23:22:37.221170,UDP,8.8.8.8,53,172.31.66.10,12345,40
2025-11-17T23:22:37.315779,UDP,172.31.66.10,12345,8.8.8.8,53,41
2025-11-17T23:22:37.321769,UDP,8.8.8.8,53,172.31.66.10,12345,40
2025-11-17T23:22:37.415863,UDP,172.31.66.10,12345,8.8.8.8,53,41
2025-11-17T23:22:37.421743,UDP,8.8.8.8,53,172.31.66.10,12345,40
